Id,Name,UnitOfMeasurement,AddressingId,Quantity
68322,LAMINA JD H221045,12,407,1
68363,ANEL STARA 9100-0345,12,338,92
68338,BORRACHA STARA 6427-4118-BVD,12,408,28
68336,SENSOR STARA 6427-4118-S,12,325,10
68337,SERVO STARA 7310-3977,13,409,20
68366,CUBO STARA 6007-4125,12,325,41
68365,CALOTA STARA 6117-4294,12,410,144
68364,SEMI-EIXO STARA 6123-1411,12,411,98
68335,CENTRAL STARA 7304-4052,12,376,10
68327,"VEDACAO ACOPLADOR 3"" BREMEN 0006592",12,412,180
68326,"VEDACAO ACOPLADOR 2"" BREMEN 0006591",12,413,12
68323,DEFLETOR JD H214211,12,414,2
68334,ABRACADEIRA STARA 6205-4185,12,415,33
70867,ABRACADEIRA JD R85168,12,416,1
