Id,ItemName,UnitOfMeasurement,Quantity,WarehouseName,AddressingName
31032,EIXO JUMIL 2730113,12,4,604,CONTAINER-01
31500,TAMPA JACTO 882381,12,1,604,1
31504,PARAFUSO JACTO 455765,12,5,604,1
31615,CILINDRO JACTO 22797,12,2,604,1
31676,CABO JACTO 858969,12,2,604,1
31967,MANGUEIRA JACTO 610492,13,1,604,1
31990,CRUZETA JACTO 766005,12,3,604,1
32013,BRACO JUMIL 2731318,12,20,604,CONTAINER-01
32054,PORCA JACTO 612242,12,1,604,1
32059,RESERVATORIO JACTO 1192045,12,1,604,1
32134,EIXO MARCHESAN 0501013468,12,10,604,137
32175,CARDAN JACTO 1188631,12,3,604,1
32177,FECHO MARCHESAN 0501054710,13,5,604,137
32178,BRACO MARCHESAN 0511063980,12,2,604,137
32182,EIXO MARCHESAN 0531016887,12,2,604,137
32320,MANGUEIRA JACTO 1177888,12,1,604,1
32321,MANGUEIRA JACTO 1177865,12,1,604,1
32406,ARTICULACAO JACTO 1163840,12,1,604,1
32559,EIXO JUMIL 2749458,12,12,604,137
32910,MANIPULADOR JACTO 761114,12,1,604,1
33028,GUIA MARCHESAN 0501069850,12,8,604,137
33342,FLANGE MARCHESAN 0502020641,12,8,604,137
33451,ARTICULACAO JACTO 1163841,12,1,604,1
33535,LUVA MARCHESAN 0531016857,12,30,604,137
33537,ALAVANCA MARCHESAN 00502011758,12,5,604,137
33538,EIXO MARCHESAN 0521018258,12,5,604,333
33824,BASE JUMIL 2738101,12,1,604,CONTAINER-02
33826,APOIO MARCHESAN 0502020394,12,10,604,137
33827,APOIO MARCHESAN 0502020393,12,10,604,137
33828,LUVA MARCHESAN 0521010452,12,10,604,137
33958,LEVANTE JUMIL 2739105,13,26,604,Vazio
34023,PARAFUSO JACTO 209601,12,4,604,1
34024,PORCA JACTO 202663,12,3,604,1
34356,VEDACAO JD L55473,12,1,604,Vazio
34831,CANECA SIMPLES SXE-39 80 T/H C/ 1000 SILOMAX 99000113,12,3,604,Vazio
34941,FAROL JACTO 036284,12,2,604,1
35171,CHAVE JACTO 579839,12,15,604,1
35803,TERMINAL JACTO 63106,12,2,604,1
35807,CABO JACTO 92998,12,3,604,52
35808,ARRUELA JACTO 1195851,12,9,604,1
35809,PORCA JACTO 113175,12,6,604,1
35810,PARAFUSO JACTO 66754,12,10,604,1
35832,REPARO VEDACAO JACTO 692491,15,3,604,1
35836,CHICOTE JACTO 1164964,12,1,604,1
35837,MANOMETRO JACTO 009803,12,1,604,1
35891,INTERFACE JACTO 315986,12,1,604,1
35985,BASE JUMIL 2749846,12,1,604,CONTAINER-02
36833,PORCA JACTO 1162921,12,18,604,1
36976,DISCO JACTO 981266,12,1,604,1
36979,ANEL JACTO 055599,12,2,604,1
36980,ROLAMENTO JACTO 55961,12,1,604,1
37077,SUPORTE JACTO 53884,12,1,604,1
37229,RETENTOR JACTO 1196558,12,2,604,1
37348,BORRACHA JACTO 697119,12,2,604,1
37430,BUCHA JACTO 735266,12,4,604,1
37762,MOTOR JACTO 1181461,12,1,604,52
38007,ELEMENTO JACTO 303214,12,4,604,1
38109,CALOTA MARCHESAN 0502020402,12,14,604,137
