Produto,Descrição Produto,E/S,Depósito,Qtde Mov,Data Digitação
50474,EIXO JD CQ75244,E,2,2.00000,2022-12-14 08:22:00
59078,EIXO JD KK41067,E,2,3.00000,2022-12-14 07:59:00
23239,ENGRENAGEM JD CQ49939,E,2,1.00000,2022-12-14 10:11:00
09479,PARAFUSO SEXTAVADO 12X50MM MA RI 8.8,E,2,2.00000,2022-12-14 09:48:00
81093,PORCA FENDT 3019128X1 20X1.5MM,E,2,2.00000,2022-12-14 08:29:00
01515,PARAFUSO SEXTAVADO 6X20MM MA RI 8.8,E,2,3.00000,2022-12-14 10:31:00
03363,PORCA TRAVANTE 24MM MA,E,2,7.00000,2022-12-14 07:59:00
73085,ANEL STARA 9100-7048,E,2,2.00000,2022-12-14 09:47:00
79149,RETENTOR 30.00X47.00X7.00 SW 2376BRG,E,2,11.00000,2022-12-14 07:59:00
23485,TAMPA JD CQ33480,E,2,6.00000,2022-12-14 10:11:00
75063,TAMPA STARA 6427-4118-TAM,E,2,8.00000,2022-12-14 10:16:00
81180,PINO FENDT ACW2249910,E,2,2.00000,2022-12-14 08:22:00
76974,CUBO STARA 6258-4010,E,2,1.00000,2022-12-14 10:16:00
45597,VALVULA JD RE333009,E,2,1.00000,2022-12-14 08:29:00
83618,FILTRO UREIA MB A00014210890098,E,18,4.00000,2022-12-14 14:51:00
74772,OLEO LUBRIFICANTE 15W40 AKCELA MS1121,E,18,12.00000,2022-12-14 14:33:00
95792,BATERIA 7.4V 1500MAH SATILINK WS-6933,E,2,3.00000,2022-12-14 13:39:00
55255,AMACIANTE ROUPA TRADICIONAL ACONCHEGO YPE 2LT,E,2,2.00000,2022-12-14 08:55:00
54188,LUSTRA MOVEIS LAVANDA PEROBA 500ML,E,2,14.00000,2022-12-14 08:55:00
28247,ALVEJANTE VANISH 500ML,E,2,22.00000,2022-12-14 08:55:00
80517,GRAXA 9.3GR JD CQM2206023,E,2,4.00000,2022-12-14 14:06:00
05933,"REGISTRO ESFERA 2"" DECA 1552B200",E,2,25.00000,2022-12-14 13:17:00
38621,ADESIVO AQUATHERM 850GR TIGRE 53010415,E,2,6.00000,2022-12-14 13:17:00
92499,PREGO TELHEIRO 18X27 GERDAU 117000087,E,2,18.00000,2022-12-14 10:47:00
37939,"TORNEIRA BOIA 2"" DECA 1350B200",E,2,6.00000,2022-12-14 13:17:00
75111,PASTA AZ USUAL LOMBO LARGO PRETA FRAMA,E,2,10.00000,2022-12-14 08:11:00
78794,PRESILHA PARA CRACHA JACARE DAC 38196026,E,2,300.00000,2022-12-14 08:11:00
01979,CAMARA AR 400/60X15.5 TR218A TORTUGA AG2415,E,2,1.00000,2022-12-14 09:00:00
06115,ROLAMENTO ESFERA FAG 6204 2RS-CO7-C3,E,2,2.00000,2022-12-14 11:35:00
52932,CAPA JD JD8225,E,2,6.00000,2022-12-14 09:48:00
95827,VELA IGNICAO NGK BP7ES,E,2,10.00000,2022-12-14 09:32:00
23709,MANIPULO JD L168271,E,2,1.00000,2022-12-14 08:56:00
25858,JANELA JD A79196,E,2,1.00000,2022-12-14 15:02:00
51534,CAME JD H234549,E,2,1.00000,2022-12-14 08:56:00
23646,TRANSDUTOR JD AN202690,E,2,1.00000,2022-12-14 08:56:00
32601,BARRA JD DQ67135,E,2,2.00000,2022-12-14 08:25:00
09309,CONEXAO JD R71963,E,2,4.00000,2022-12-14 08:56:00
12045,CALCO JD N209346,E,2,50.00000,2022-12-14 08:56:00
30063,CILINDRO JD AL174358,E,2,2.00000,2022-12-14 08:56:00
23294,EIXO JD DQ74873,E,2,1.00000,2022-12-14 08:44:00
11977,JUNTA JD PMMLS220G1V,E,2,5.00000,2022-12-14 08:55:00
76992,MOLA FENDT 44080017,E,2,1.00000,2022-12-14 08:22:00
75555,PARAFUSO JD H223214,E,2,1.00000,2022-12-14 08:56:00
72021,PARAFUSO PLANTE+ 19M8033,E,2,1.00000,2022-12-14 10:26:00
81965,PORCA JD 14M7567,E,2,2.00000,2022-12-14 08:25:00
81093,PORCA FENDT 3019128X1 20X1.5MM,E,2,2.00000,2022-12-14 08:44:00
72858,PORCA JD H137328,E,2,4.00000,2022-12-14 08:56:00
57976,PORCA JD 14M7410,E,2,6.00000,2022-12-14 08:56:00
06630,PORCA JD M84971,E,2,8.00000,2022-12-14 08:55:00
54158,PARAFUSO JD A87455,E,2,11.00000,2022-12-14 08:56:00
03052,PARAFUSO SEXTAVADO 20X70MM MA RP 8.8,E,2,12.00000,2022-12-14 09:47:00
20798,PORCA JD 14M7594,E,2,12.00000,2022-12-14 08:56:00
06670,PORCA JD 14M7291,E,2,14.00000,2022-12-14 08:56:00
31177,ARRUELA JD 24M7024,E,2,19.00000,2022-12-14 08:56:00
06351,PORCA JD 14M7296,E,2,20.00000,2022-12-14 08:56:00
93052,PARAFUSO FENDT ACX3569820,E,2,21.00000,2022-12-14 08:55:00
09479,PARAFUSO SEXTAVADO 12X50MM MA RI 8.8,E,2,25.00000,2022-12-14 10:31:00
56521,"PARAFUSO SEXTAVADO 5/16""X2.1/2"" MA RP 8.8",E,2,65.00000,2022-12-14 09:47:00
16430,PORCA JD 14M7298,E,2,70.00000,2022-12-14 08:56:00
02246,PORCA TRAVANTE 5/16 MA,E,2,2.300.00000,2022-12-14 08:34:00
12035,"ARRUELA CONICA P/ CANECA  5/16""",E,2,2.300.00000,2022-12-14 08:34:00
12034,"PARAFUSO CANECA 5/16"" X 1.1/4""",E,2,2.300.00000,2022-12-14 08:34:00
67176,VEDACAO JD R501228,E,2,1.00000,2022-12-14 08:56:00
56269,VEDACAO JD R501227,E,2,1.00000,2022-12-14 08:56:00
19526,ELETRODO OK 6330 2.00MM CROMO NIQUEL ESAB 0303062,E,2,2.00000,2022-12-14 08:55:00
33179,TAMPA JD DQ21768,E,2,1.00000,2022-12-14 08:44:00
23485,TAMPA JD CQ33480,E,2,2.00000,2022-12-14 10:31:00
89972,ABRACADEIRA PLANTE+ A85131,E,2,1.00000,2022-12-14 09:31:00
29110,ABRACADEIRA JD RE65978,E,2,3.00000,2022-12-14 08:56:00
28449,ESPACADOR JD L78006,E,2,2.00000,2022-12-14 08:25:00
82538,PINO PLANTE+ J16931,E,2,1.00000,2022-12-14 09:31:00
37412,CHAVETA JD H227073,E,2,1.00000,2022-12-14 08:56:00
06517,PINO JD L111817,E,2,1.00000,2022-12-14 08:25:00
81692,PINO JD 34H286,E,2,40.00000,2022-12-14 08:56:00
82915,MOTOR STARA 7940-4022-MOT,E,2,1.00000,2022-12-14 17:13:00
81093,PORCA FENDT 3019128X1 20X1.5MM,E,2,2.00000,2022-12-14 09:48:00
96061,RETENTOR 17.00X 30.00 X 07.00 ARCA 2963,E,2,2.00000,2022-12-14 17:13:00
12932,VISEIRA CAPACETE SAN MARINO TAURUS,E,2,10.00000,2022-12-14 09:24:00
16767,FILTRO AR JD AL172780,E,18,7.00000,2022-12-14 08:56:00
68372,"REGISTRO ESFERA 1"" DECA 1552B100",E,2,1.00000,2022-12-14 07:20:00
21341,COMUTADOR KOSTAL 4829816,E,2,1.00000,2022-12-14 14:42:00
30710,SILENCIOSO JD AL153067,E,2,1.00000,2022-12-14 15:12:00
95797,MANGUEIRA JD L158826,E,2,1.00000,2022-12-14 15:12:00
81093,PORCA FENDT 3019128X1 20X1.5MM,E,2,2.00000,2022-12-14 10:26:00
05209,PARAFUSO FRANCES 10X60MM MA RP 8.8,E,2,19.00000,2022-12-14 08:44:00
82660,PROTECAO JD L158590,E,2,1.00000,2022-12-14 15:36:00
73261,VEDACAO JD L41216,E,2,1.00000,2022-12-14 15:31:00
39426,CHAPA LISA 1200MM X 3000MM CHAPA 16,E,2,4.00000,2022-12-14 14:37:00
95926,TUBO CALANDRADO 600 X 295MM 14MM,E,2,5.00000,2022-12-14 14:34:00
95927,TUBO CALANDRADO 400 X 195MM 14MM,E,2,20.00000,2022-12-14 14:34:00
05901,FILTRO COMBUSTIVEL JD RE522878,E,18,19.00000,2022-12-14 07:50:00
75618,MOTOR STARA 6256-4186-MT,E,2,2.00000,2022-12-14 08:56:00
95660,AMORTECEDOR STARA 7922-4105-B17,E,2,2.00000,2022-12-14 08:56:00
68368,EIXO STARA 6123-1417,E,2,20.00000,2022-12-14 08:56:00
77145,ABRACADEIRA FENDT 7041192M1,E,2,2.00000,2022-12-14 15:29:00
75926,TRAVA STARA 6424-2137,E,2,1.00000,2022-12-14 08:56:00
76101,RODA STARA 6007-3228,E,2,2.00000,2022-12-14 08:56:00
15222,ADAPTADOR STARA 9100-0070,E,2,1.00000,2022-12-14 08:56:00
15222,ADAPTADOR STARA 9100-0070,E,2,1.00000,2022-12-14 08:56:00
59276,"VALVULA LAVATORIO S/ LADRAO 7/8"" TIGRE 26916909",E,2,1.00000,2022-12-15 08:01:00
42461,MANTA ASFALTICA FITA 20CMX10M,E,2,7.00000,2022-12-15 07:24:00
94628,LUMINARIA HERMETICA LED 21W 5000K IP66/69,E,2,3.00000,2022-12-15 06:50:00
88445,TAMPA CEGA CONDULETE TOP TIGRE 36005556P,E,2,4.00000,2022-12-15 09:02:00
88390,CAIXA CONDULETE 5 ENRTRADAS TOP TIGRE 36005319P,E,2,4.00000,2022-12-15 09:02:00
07828,DUCHA BELLA BUCHA MULTITEMPERATURAS 220V 6800W LORENZETTI 371867,E,2,1.00000,2022-12-15 06:50:00
38462,"CURVA PVC 90º ROSCAVEL 3/4"" TIGRE 36005645",E,2,3.00000,2022-12-15 09:02:00
66200,LAMPADA LUPA INSTRUTHERM LB100,E,2,3.00000,2022-12-15 06:50:00
95244,SENSOR JD AKK18769,E,2,1.00000,2022-12-15 08:01:00
23294,EIXO JD DQ74873,E,2,4.00000,2022-12-15 08:01:00
75835,ARRUELA STARA 6424-1270,E,2,1.00000,2022-12-15 09:59:00
81093,PORCA FENDT 3019128X1 20X1.5MM,E,2,1.00000,2022-12-15 09:59:00
01512,PARAFUSO SEXTAVADO 10X50MM MA RI 8.8,E,2,6.00000,2022-12-15 09:59:00
09479,PARAFUSO SEXTAVADO 12X50MM MA RI 8.8,E,2,25.00000,2022-12-15 07:35:00
85548,SUPORTE JD CQ68484,E,2,1.00000,2022-12-15 07:29:00
38450,GUIA JD CQ50865,E,2,20.00000,2022-12-15 07:35:00
01040,FILTRO AR MANN CF1000,E,18,1.00000,2022-12-15 09:54:00
63939,FILTRO AR JD AT307501,E,18,1.00000,2022-12-15 09:54:00
09986,FILTRO HIDRAULICO MF 034391T1,E,18,1.00000,2022-12-15 09:50:00
42024,FILTRO COMBUSTIVEL MB A9794770015,E,18,1.00000,2022-12-15 10:04:00
12132,FILTRO SECADOR JD AN204967,E,18,1.00000,2022-12-15 09:50:00
70846,FILTRO AR STARA 7911-4230-FC,E,18,2.00000,2022-12-15 09:54:00
82564,OLEO LUBRIFICANTE 5W30 1LT YPF ELAION F50D2,E,18,1.00000,2022-12-15 09:54:00
94436,ADITIVO COOLANT AKCELA ACTIFULL CASE,E,18,1.00000,2022-12-15 13:37:00
77384,ALGE OMINA AGRO 000746,E,2,40.00000,2022-12-15 15:16:00
84869,"CONECTOR PRENSA CABO 1/2"" TRAMONTINA 56132252",E,2,20.00000,2022-12-15 07:51:00
81796,MOUSE OPTICO USB S/ FIO M280 PRETO LOGITECH 910-004284,E,2,1.00000,2022-12-15 13:01:00
